,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
2197.0,06.01.2017 00:00:00.000,1.06039,1.06221,1.0525,1.0529,226026.6563,1.0744328,1.06272,0.009820000000000162,0.0
2201.0,10.01.2017 00:00:00.000,1.05858,1.06272,1.05509,1.05522,227707.0156,1.0721183,1.0628,0.00757999999999992,0.0
2203.0,12.01.2017 00:00:00.000,1.05942,1.06847,1.05714,1.06162,283076.2813,1.0675014,1.0699,0.008280000000000065,0.0
2206.0,15.01.2017 00:00:00.000,1.06039,1.06358,1.0603,1.06272,7140.4399,1.0642793,1.07591,0.013189999999999813,0.0
2209.0,18.01.2017 00:00:00.000,1.06966,1.07123,1.06244,1.0628,241426.3125,1.0688423,1.06834,0.0055400000000001,0.0
2218.0,27.01.2017 00:00:00.000,1.06834,1.0725,1.06584,1.06958,210667.5625,1.0731806,1.07824,0.008660000000000112,0.0
2220.0,29.01.2017 00:00:00.000,1.07213,1.07214,1.0708,1.07169,6970.9702,1.0706406,1.0743,0.0,-0.002610000000000001
2225.0,03.02.2017 00:00:00.000,1.07618,1.07975,1.07115,1.07818,228892.2031,1.065338,1.06187,0.0,0.016309999999999825
2232.0,10.02.2017 00:00:00.000,1.06571,1.06677,1.06077,1.06397,238342.0156,1.0559875,1.06251,0.0,0.0014600000000000168
2242.0,20.02.2017 00:00:00.000,1.0625,1.06299,1.06031,1.06088,141470.8125,1.0602125,1.05692,0.0,0.0039599999999999635
2245.0,23.02.2017 00:00:00.000,1.05505,1.05952,1.05376,1.05839,236701.4688,1.066519,1.06203,0.0036400000000000876,0.0
2251.0,01.03.2017 00:00:00.000,1.05691,1.05894,1.05142,1.05359,287665.8438,1.0714682,1.05794,0.004350000000000076,0.0
2256.0,06.03.2017 00:00:00.000,1.06207,1.06399,1.05747,1.05789,198254.4063,1.071479,1.06119,0.0033000000000000806,0.0
2257.0,07.03.2017 00:00:00.000,1.05789,1.06025,1.05581,1.05692,191883.2813,1.0726757,1.07375,0.0168299999999999,0.0
2262.0,12.03.2017 00:00:00.000,1.06747,1.06925,1.06747,1.06894,7112.3901,1.073503,1.07368,0.0047399999999999665,0.0
2263.0,13.03.2017 00:00:00.000,1.06894,1.07142,1.06448,1.06507,209422.7813,1.0711564,1.08125,0.016180000000000083,0.0
2266.0,16.03.2017 00:00:00.000,1.07376,1.07742,1.07057,1.07718,234024.4375,1.076266,1.07969,0.0,-0.0025100000000000122
2270.0,20.03.2017 00:00:00.000,1.07421,1.07772,1.0719,1.07368,172443.5625,1.0700719,1.08162,0.0,-0.007940000000000058
