,Gmt time,Open,High,Low,Close,Volume
1628,17.06.2015 00:00:00.000,1.12414,1.13702,1.12065,1.13631,218315.1563
1629,18.06.2015 00:00:00.000,1.13626,1.14364,1.13383,1.13712,236294.8594
1630,19.06.2015 00:00:00.000,1.13714,1.13872,1.1292,1.13487,167226.1563
1632,21.06.2015 00:00:00.000,1.13771,1.1378,1.13575,1.13613,6564.0
1633,22.06.2015 00:00:00.000,1.13613,1.14102,1.1312,1.13451,178751.6563
1634,23.06.2015 00:00:00.000,1.1345,1.1346,1.11351,1.11745,210434.4844
1635,24.06.2015 00:00:00.000,1.11744,1.12347,1.11597,1.12054,191865.6875
1636,25.06.2015 00:00:00.000,1.12056,1.12276,1.11537,1.12025,159940.9531
1637,26.06.2015 00:00:00.000,1.12029,1.12197,1.11301,1.11625,163952.7344
1639,28.06.2015 00:00:00.000,1.10049,1.10161,1.09545,1.09743,23489.4805
1640,29.06.2015 00:00:00.000,1.09742,1.12783,1.09742,1.12181,233782.9844
1641,30.06.2015 00:00:00.000,1.12184,1.12435,1.11124,1.11332,206006.7031
1642,01.07.2015 00:00:00.000,1.11318,1.11713,1.10321,1.10368,192840.125
1643,02.07.2015 00:00:00.000,1.10368,1.11214,1.10365,1.10858,176969.7969
1644,03.07.2015 00:00:00.000,1.10857,1.11177,1.1065,1.11092,123712.3984
1646,05.07.2015 00:00:00.000,1.09932,1.1039,1.0969,1.09945,21552.8398
1647,06.07.2015 00:00:00.000,1.09946,1.10954,1.09936,1.10472,184236.3125
1648,07.07.2015 00:00:00.000,1.10474,1.10517,1.09163,1.10074,235204.0625
1649,08.07.2015 00:00:00.000,1.10073,1.10927,1.09743,1.10709,225358.7031
1650,09.07.2015 00:00:00.000,1.10708,1.11249,1.09915,1.10605,195008.0938
1651,10.07.2015 00:00:00.000,1.10606,1.12157,1.10549,1.11519,193591.9531
1653,12.07.2015 00:00:00.000,1.10922,1.11443,1.10918,1.11292,10172.9199
1654,13.07.2015 00:00:00.000,1.11292,1.11968,1.0981,1.09825,207766.1563
1655,14.07.2015 00:00:00.000,1.09828,1.10832,1.09653,1.10063,194135.1406
1656,15.07.2015 00:00:00.000,1.10063,1.10355,1.09299,1.09376,195587.6719
1657,16.07.2015 00:00:00.000,1.09376,1.09482,1.08553,1.08833,196679.1563
1658,17.07.2015 00:00:00.000,1.08833,1.09069,1.08261,1.08261,160758.7188
1660,19.07.2015 00:00:00.000,1.08295,1.0844,1.08282,1.083,7247.8198
1661,20.07.2015 00:00:00.000,1.08299,1.08702,1.08086,1.08333,156443.7656
1662,21.07.2015 00:00:00.000,1.08334,1.09685,1.08116,1.09364,205610.9375
1663,22.07.2015 00:00:00.000,1.09363,1.09666,1.08693,1.0924,189666.6563
1664,23.07.2015 00:00:00.000,1.0924,1.10179,1.09216,1.09871,198293.4063
1665,24.07.2015 00:00:00.000,1.0987,1.09957,1.09253,1.09795,139853.5156
1667,26.07.2015 00:00:00.000,1.09813,1.09827,1.09689,1.09721,4898.9302
1668,27.07.2015 00:00:00.000,1.09723,1.11292,1.0971,1.10884,190748.4063
1669,28.07.2015 00:00:00.000,1.10884,1.10996,1.10221,1.1065,160387.5156
1670,29.07.2015 00:00:00.000,1.10651,1.1084,1.09669,1.09812,180100.6563
1671,30.07.2015 00:00:00.000,1.09815,1.09847,1.08933,1.09404,175133.6563
1672,31.07.2015 00:00:00.000,1.09404,1.1114,1.09211,1.0983,183491.5313
1674,02.08.2015 00:00:00.000,1.09705,1.0983,1.0966,1.09674,6598.52
1675,03.08.2015 00:00:00.000,1.09675,1.09957,1.09413,1.09506,146304.7031
1676,04.08.2015 00:00:00.000,1.09507,1.09875,1.08789,1.0885,173856.2656
1677,05.08.2015 00:00:00.000,1.08849,1.09342,1.08481,1.09029,198887.2813
1678,06.08.2015 00:00:00.000,1.09029,1.09439,1.08737,1.09223,161694.5938
1679,07.08.2015 00:00:00.000,1.09223,1.09783,1.08553,1.09618,169125.8438
1681,09.08.2015 00:00:00.000,1.09627,1.09675,1.09581,1.09583,4991.6201
